Hyperparameter Evaluation Log

Program finished in 44.945249199998216 seconds
Best parameters: {'n_estimators': 95, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.966903073286052

All Results:
Params: {'n_estimators': 44, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 44, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 44, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9456264775413712
Params: {'n_estimators': 44, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 61, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.950354609929078
Params: {'n_estimators': 44, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9574468085106383
Params: {'n_estimators': 61, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 44, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9408983451536643
Params: {'n_estimators': 61, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.950354609929078
Params: {'n_estimators': 44, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9385342789598109
Params: {'n_estimators': 61, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 44, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 61, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 44, 'criterion': 'log_loss', 'min_samples_split': 10}, Accuracy: 0.9385342789598109
Params: {'n_estimators': 45, 'criterion': 'gini', 'min_samples_split': 2}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 61, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 45, 'criterion': 'gini', 'min_samples_split': 5}, Accuracy: 0.950354609929078
Params: {'n_estimators': 45, 'criterion': 'gini', 'min_samples_split': 10}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 61, 'criterion': 'log_loss', 'min_samples_split': 2}, Accuracy: 0.9550827423167849
Params: {'n_estimators': 45, 'criterion': 'entropy', 'min_samples_split': 2}, Accuracy: 0.9527186761229315
Params: {'n_estimators': 61, 'criterion': 'log_loss', 'min_samples_split': 5}, Accuracy: 0.9479905437352246
Params: {'n_estimators': 45, 'criterion': 'entropy', 'min_samples_split': 5}, Accuracy: 0.9432624113475178
Params: {'n_estimators': 45, 'criterion': 'entropy', 'min_samples_split': 10}, Accuracy: 0.9385342789598109
