Program finished in 119.14147760003107 seconds
Best parameters: {'C': 0.018329807108324356, 'kernel': 'poly', 'gamma': 'auto'}, Accuracy: 0.9763593380614657

All Results:
Params: {'C': 0.01, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.16548463356973994
Params: {'C': 0.37926901907322497, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.5697399527186762
Params: {'C': 0.06158482110660264, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.46808510638297873
Params: {'C': 0.01, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 0.06158482110660264, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.7281323877068558
Params: {'C': 0.018329807108324356, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.7706855791962175
Params: {'C': 0.018329807108324356, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.7706855791962175
Params: {'C': 2.3357214690901213, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.9054373522458629
Params: {'C': 48.32930238571752, 'kernel': 'rbf', 'gamma': 'scale'}, Accuracy: 0.7919621749408984
Params: {'C': 0.018329807108324356, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.5035460992907801
Params: {'C': 7.847599703514606, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.028368794326241134
Params: {'C': 48.32930238571752, 'kernel': 'rbf', 'gamma': 'auto'}, Accuracy: 0.9101654846335697
Params: {'C': 0.06158482110660264, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.16548463356973994
Params: {'C': 297.63514416313194, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.8581560283687943
Params: {'C': 2.3357214690901213, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.9054373522458629
Params: {'C': 7.847599703514606, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 48.32930238571752, 'kernel': 'sigmoid', 'gamma': 'scale'}, Accuracy: 0.04018912529550828
Params: {'C': 2.3357214690901213, 'kernel': 'poly', 'gamma': 'scale'}, Accuracy: 0.6264775413711584
Params: {'C': 0.06158482110660264, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
Params: {'C': 0.11288378916846889, 'kernel': 'linear', 'gamma': 'scale'}, Accuracy: 0.8912529550827423
Params: {'C': 0.11288378916846889, 'kernel': 'linear', 'gamma': 'auto'}, Accuracy: 0.8912529550827423
Params: {'C': 48.32930238571752, 'kernel': 'sigmoid', 'gamma': 'auto'}, Accuracy: 0.16548463356973994
